decile,cnt_cust,cnt_resp,cum_cust,cum_resp,prob_avg,lift,lift_marg,cum_resp_pct,effective_rate,%_cum_resp_pct
1,100.0,53.0,100.0,53.0,0.711,7.143,7.143,7.143,53.0,100.0
2,100.0,45.0,200.0,98.0,0.496,6.604,6.065,13.208,49.0,200.0
3,100.0,40.0,300.0,138.0,0.384,6.199,5.391,18.598,46.0,300.0
4,100.0,39.0,400.0,177.0,0.302,5.964,5.256,23.854,44.25,400.0
5,100.0,28.0,500.0,205.0,0.246,5.526,3.774,27.628,41.0,500.0
6,100.0,24.0,600.0,229.0,0.2,5.144,3.235,30.863,38.166666666666664,600.0
7,100.0,34.0,700.0,263.0,0.164,5.064,4.582,35.445,37.57142857142857,700.0
8,100.0,23.0,800.0,286.0,0.139,4.818,3.1,38.544,35.75,800.0
9,100.0,23.0,900.0,309.0,0.12,4.627,3.1,41.644,34.333333333333336,900.0
10,100.0,24.0,1000.0,333.0,0.106,4.488,3.235,44.879,33.3,1000.0
11,100.0,16.0,1100.0,349.0,0.094,4.276,2.156,47.035,31.727272727272727,1100.0
12,100.0,11.0,1200.0,360.0,0.084,4.043,1.482,48.518,30.0,1200.0
13,100.0,12.0,1300.0,372.0,0.076,3.857,1.617,50.135,28.615384615384617,1300.0
14,100.0,15.0,1400.0,387.0,0.068,3.725,2.022,52.156,27.642857142857142,1400.0
15,100.0,12.0,1500.0,399.0,0.062,3.585,1.617,53.774,26.6,1500.0
16,100.0,14.0,1600.0,413.0,0.057,3.479,1.887,55.66,25.8125,1600.0
17,100.0,10.0,1700.0,423.0,0.053,3.353,1.348,57.008,24.88235294117647,1700.0
18,100.0,10.0,1800.0,433.0,0.049,3.242,1.348,58.356,24.055555555555557,1800.0
19,100.0,11.0,1900.0,444.0,0.046,3.149,1.482,59.838,23.36842105263158,1900.0
20,100.0,9.0,2000.0,453.0,0.043,3.053,1.213,61.051,22.65,2000.0
21,100.0,12.0,2100.0,465.0,0.041,2.984,1.617,62.668,22.142857142857142,2100.0
22,100.0,8.0,2200.0,473.0,0.038,2.898,1.078,63.747,21.5,2200.0
23,100.0,5.0,2300.0,478.0,0.036,2.801,0.674,64.42,20.782608695652176,2300.0
24,100.0,5.0,2400.0,483.0,0.034,2.712,0.674,65.094,20.125,2400.0
25,100.0,6.0,2500.0,489.0,0.033,2.636,0.809,65.903,19.56,2500.0
